NAME,POPULATION,AREA,DENSITY,CONSTITUTIONAL FORM:
Afghanistan,40099462,652864.0,61.0,Provisional
Albania,2854710,28748.0,99.0,Republic
Algeria,44177969,2381740.0,19.0,Republic
Andorra,79034,468.0,169.0,Constitutional monarchy
Angola,34503774,1246700.0,28.0,Republic
Antigua and Barbuda,93219,442.0,211.0,Constitutional monarchy
Argentina,45276780,2780400.0,16.0,Republic
Armenia,2790974,29743.0,94.0,Republic
Australia,25921089,7692020.0,3.0,Constitutional monarchy
Austria,8922082,83871.0,106.0,Republic
Azerbaijan,10312992,86600.0,119.0,Republic
The Bahamas,407906,13943.0,29.0,Constitutional monarchy
Bahrain,1463265,785.0,1864.0,Constitutional monarchy
Bangladesh,169356251,147570.0,1148.0,Republic
Barbados,281200,430.0,654.0,Republic
Belarus,9578167,207600.0,46.0,Republic
Belgium,11611419,30528.0,380.0,Constitutional monarchy
Belize,400031,22966.0,17.0,Constitutional monarchy
Benin,12996895,114763.0,113.0,Republic
Bhutan,777486,38394.0,20.0,Constitutional monarchy
Bolivia,12079472,1098580.0,11.0,Republic
Bosnia and Herzegovina,3270943,51209.0,64.0,Republic
Botswana,2588423,582000.0,4.0,Republic
Brazil,214326223,8514880.0,25.0,Republic
Brunei,445373,5765.0,77.0,Absolute monarchy
Bulgaria,6885868,110912.0,62.0,Republic
Burkina Faso,22100683,272967.0,81.0,Provisional
Burundi,12551213,27834.0,451.0,Republic
Cambodia,16589023,181035.0,92.0,Constitutional monarchy
Cameroon,27198628,475650.0,57.0,Republic
Canada,38155012,9093510.0,4.0,Constitutional monarchy
Cape Verde,587925,4033.0,146.0,Republic
Central African Republic,5457154,622984.0,9.0,Republic
Chad,17179740,1284000.0,13.0,Provisional
Chile,19493184,756102.0,26.0,Republic
China,1425893465,9596960.0,149.0,Republic
Colombia,51516562,1141750.0,45.0,Republic
Comoros,821625,2235.0,368.0,Republic
Democratic Republic of the Congo,95894118,2344860.0,41.0,Republic
